"","0%","5%","10%","15%","20%","25%","30%","35%","40%","45%","50%","55%","60%","65%","70%","75%","80%","85%","90%","95%","100%"
"quantile.ds.ud.pr",1.08154905469414,2.91712342892012,3.87917543947485,4.69981625936407,5.47189392525087,6.3636193331637,7.336453485023,8.36990692536245,9.51875572681086,10.9956868058716,12.7427300256501,14.4790571910397,17.0361827604684,20.3803573529395,24.246731161161,29.4435361557062,37.2106761874451,48.1552628542383,68.6616541441087,117.350254201531,1774.52192624285
"quantile.ds.ud.pravg",0.54077452734707,1.35589279124451,1.78305850485919,2.12224424039872,2.41435195017448,2.68309568587198,2.9899585793336,3.31515318988388,3.66804605249747,4.05258404811531,4.43638359742909,4.87362953568382,5.4044829785672,5.97615262836483,6.67196832141756,7.66672560826195,9.07038990665443,11.392154486343,15.2150705551063,22.8408864399183,285.883475118119
"quantile.ds.ud.sv",1,3,5,7,11,14,18,23,30,38,49,68,92,126,179,275,385.2,495.400000000001,605.6,822.8,1043
"quantile.ds.ud.nbd",1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,4,5,8,42
"quantile.ds.hl.class.pr",4.35130950665742,9.13022345665769,11.5583352794233,15.4760162136865,18.827007417266,23.0807385480312,26.268457358916,30.2928889193356,34.6709603532144,40.2114078377713,47.0671780857042,51.9086757856658,58.3072417032101,69.2796137287158,77.3925077363901,86.2006797396732,100.292702546461,125.702940991162,148.221276735545,210.378883033998,941.739602604919
"quantile.ds.hl.class.pravg",0.182827327665793,0.23807546927241,0.266591156628051,0.283397251771678,0.313680796601304,0.332404449074538,0.356826633531866,0.393871232600693,0.427129438435412,0.466052192730698,0.494749059785901,0.533358992991465,0.587197209735535,0.647923657181153,0.713653010962296,0.770713351735378,0.8399471826368,0.910871613465647,1.05978496723635,1.42786928322984,3.8754716156581
"quantile.ds.hl.class.sv",1,1,2,2,3,3,3,4,4,4,5,5,5,6,6,7,7,8,9,10,15
"quantile.ds.hl.class.td",21,33,39,44,53,59,66,70,76,82,87,93,98,103,111,118,131,151,171,221,893
"quantile.ds.hl.package.pr",32.1145247751689,91.5562642088745,144.503983444848,165.854490348576,195.330071089255,212.525060526524,237.876180694172,270.200547956101,298.643540550438,335.492512284585,372.840401793718,406.544843355849,428.240152327529,473.356865600052,534.360808581037,592.954987092731,667.806461853445,896.138817579222,1182.26893254921,1991.79966890238,6737.49766561137
"quantile.ds.hl.package.pravg",1.45975112614404,2.85438214058192,3.36040546149987,3.80616007680038,4.23614163293558,4.61755339562166,5.34145443673313,5.76858512632512,6.46291478246234,6.89079756263191,7.27385781235941,8.13392094946856,8.65615562009444,9.38490033745551,10.3650733091432,11.308408798946,12.5275534182097,13.3277043617218,15.508854116586,25.3415758179926,53.2068199756275
"quantile.ds.hl.package.sv",1,1,1,1,1,1,1,1.85000000000001,2,2,2,2,2,3,3,3,4,4,5,6,12
"quantile.ds.hl.package.td",10,24.55,28.1,32,33,37,39,40,42,44,46.5,50,51,53.15,60,65,73,80.35,89.9,120.3,188
"quantile.ds.cd.class.noc",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,93
"quantile.ds.cd.class.nov",2,2,2,2,2,2,2,2,2,2,2,3,3,4,5,8,12,17,25,39,102
"quantile.ds.cd.class.pr",0.766904489919114,0.895348678469121,0.944741143856945,1.01571166878991,1.09340884400191,1.18035363192718,1.29151277712871,1.44261845217619,1.63308783852087,1.88691376629278,2.21185577223166,2.75017887952228,3.70446694056361,5.30372352945278,8.10945448414558,14.4822725939772,26.8935185165088,43.8789449958019,74.398471862902,156.274496650121,417.501159676605
"quantile.ds.cd.class.pravg",0.19126847442229,0.296446000916505,0.311626515338386,0.332149585294548,0.355395952550147,0.379216740917256,0.408020358502145,0.443743702402229,0.489228364998018,0.547370977831456,0.621173806948329,0.714640344956611,0.841176092227023,1.04590914688946,1.32009704034398,1.68948763920094,2.12017352947041,2.683570731511,3.55362539608085,4.73156449964909,31.4071084553033
"quantile.ds.cd.class.sv",1,64,139,237,358,506,685,913,1237,1744,2319,3226.7,4652,6146,8308,11017,13884.2,16826,19792,25209.3,30880
"quantile.ds.cd.package.noc",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,56
"quantile.ds.cd.package.nov",2,2,2,2,2,3,3,3,4,5,5,6,7,8,9,11,14,18,25,42,79
"quantile.ds.cd.package.pr",1.84347614074249,7.47820452323768,10.7946336054942,14.0492747994928,17.9143129854638,22.2566209697431,27.0499789119824,32.6548015302377,39.4862514537142,47.8248861706863,58.6521056712209,71.64142486239,88.3560969560006,108.211782277995,132.043786486283,163.485505903414,219.092927807728,313.962946949928,458.850284090769,743.841088020059,1627.33652265231
"quantile.ds.cd.package.pravg",0.614492046914164,2.27288738825101,2.99800939896594,3.57763007389447,4.19206001992181,4.86701417908695,5.53979444866802,6.26894626432728,7.03183422391912,7.90986468098619,8.93724121737415,9.94874953180216,10.976578945334,12.1615123744231,13.2563281527571,14.2494609056435,15.4029734131803,17.0036887600909,20.3034487566021,27.636006026383,397.338880291691
"quantile.ds.cd.package.sv",1,49,121,214,285,353,472,634,874.200000000001,1060.1,1406,1848.9,2921.8,3692.7,4819.8,6246.5,12003.4,15333.3,18671.2,23250.2,30881
